,Partner,,HS Code,Product,Year,UOM,Q1(Jan-Mar) Value,Q1(Jan-Mar) Qty,Q2(Apr-Jun) Value,Q2(Apr-Jun) Qty,Q3(Jul-Sep) Value,Q3(Jul-Sep) Qty,Q4(Oct-Dec) Value,Q4(Oct-Dec) Qty,Total Value,Total Qty,Period/Period %  Change (Value),Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code
1,Mexico,1,804400040,AVOC-HSLIKE,2015-2015,MT,"415,297","201,920.40","351,040","168,041.20","363,268","192,710.00","351,592","224,355.70","1,481,197","787,027.20",-3,16,US,MX,804400040
1,Mexico,1,804400040,AVOC-HSLIKE,2016-2016,MT,"368,268","248,406.90","337,046","169,535.30","503,892","156,340.00","487,017","183,535.50","1,696,223","757,817.70",-3,17,US,MX,804400040
1,Mexico,1,804400040,AVOC-HSLIKE,2017-2017,MT,"547,791","218,137.40","543,618","171,088.60","604,793","142,779.70","507,040","203,342.00","2,203,242","735,347.60",-16,42,US,MX,804400040
1,Mexico,1,804400040,AVOC-HSLIKE,2018-2018,MT,"548,622","250,125.20","517,619","221,488.00","452,591","165,683.20","434,364","221,708.90","1,953,196","859,005.30",-4,34,US,MX,804400040
1,Mexico,1,804400040,AVOC-HSLIKE,2019-2019,MT,"545,016","298,071.40","690,601","187,819.50","560,915","186,423.90","535,124","259,503.00","2,331,656","931,817.80",-5,39,US,MX,804400040
1,Mexico,2,804400020,ORG AVOC-HSLIKE,2015-2015,MT,"12,920","5,308.40","7,059","2,602.60","9,685","3,572.60","13,425","5,538.70","43,089","17,022.30",39,55,US,MX,804400020
1,Mexico,2,804400020,ORG AVOC-HSLIKE,2016-2016,MT,"11,019","5,162.60","8,789","4,350.50","20,657","6,575.60","31,393","11,061.30","71,858","27,150.00",52,68,US,MX,804400020
1,Mexico,2,804400020,ORG AVOC-HSLIKE,2017-2017,MT,"34,070","12,060.90","21,685","5,790.60","37,580","8,147.70","38,066","13,279.10","131,400","39,278.40",1,63,US,MX,804400020
1,Mexico,2,804400020,ORG AVOC-HSLIKE,2018-2018,MT,"34,302","13,515.00","26,308","9,830.00","27,515","8,576.20","30,441","13,188.10","118,565","45,109.30",11,54,US,MX,804400020
1,Mexico,2,804400020,ORG AVOC-HSLIKE,2019-2019,MT,"34,664","16,046.30","23,965","6,595.30","27,971","8,534.60","34,853","13,453.30","121,453","44,629.50",25,58,US,MX,804400020
1,Mexico,3,804400090,"AVOCADOS, OTHER",2015-2015,MT,21,18.4,0,0,5,0.6,2,0.1,28,19.1,-53,-83,US,MX,804400090
1,Mexico,3,804400090,"AVOCADOS, OTHER",2016-2016,MT,22,18.2,0,0,123,48.1,115,41.6,260,107.9,-6,-14,US,MX,804400090
1,Mexico,3,804400090,"AVOCADOS, OTHER",2017-2017,MT,8,0.2,0,0,0,0,0,0,8,0.2,,,US,MX,804400090
1,Mexico,3,804400090,"AVOCADOS, OTHER",2018-2018,MT,83,49.7,97,39.8,0,0,0,0,180,89.5,,,US,MX,804400090
1,Mexico,3,804400090,"AVOCADOS, OTHER",2019-2019,MT,79,41.2,0,0,50,18.4,87,106.1,216,165.8,72,475,US,MX,804400090
